timestamp,open,high,low,close,volume
2026-01-01T09:15:00,2506.87,2508.94,2502.75,2506.42,2854
2026-01-01T09:16:00,2503.23,2503.56,2501.63,2502.76,4728
2026-01-01T09:17:00,2504.21,2506.65,2501.23,2505.03,4228
2026-01-01T09:18:00,2502.49,2505.45,2499.84,2503.02,1325
2026-01-01T09:19:00,2496.36,2499.71,2494.51,2497.59,3323
2026-01-01T09:20:00,2496.14,2500.24,2495.73,2497.03,3454
2026-01-01T09:21:00,2497.39,2501.13,2493.84,2497.22,2162
2026-01-01T09:22:00,2497.75,2500.84,2494.9,2497.69,4350
2026-01-01T09:23:00,2499.44,2500.56,2498.72,2500.06,4626
2026-01-01T09:24:00,2500.65,2503.17,2500.45,2501.05,2757
2026-01-01T09:25:00,2503.07,2504.43,2499.7,2502.18,1980
2026-01-01T09:26:00,2501.52,2503.96,2502.26,2502.68,4077
2026-01-01T09:27:00,2497.59,2499.49,2494.97,2496.84,4401
2026-01-01T09:28:00,2493.85,2497.1,2492.58,2494.71,4277
2026-01-01T09:29:00,2491.85,2493.72,2492.03,2492.38,1452
2026-01-01T09:30:00,2495.54,2499.2,2492.9,2495.7,3130
2026-01-01T09:31:00,2495.8,2497.44,2493.4,2495.91,4889
2026-01-01T09:32:00,2497.44,2497.56,2494.39,2497.06,2469
2026-01-01T09:33:00,2497.17,2499.13,2495.08,2497.24,4066
2026-01-01T09:34:00,2500.09,2503.22,2499.29,2500.88,1683
2026-01-01T09:35:00,2500.54,2501.74,2499.6,2501.0,2478
2026-01-01T09:36:00,2502.62,2504.78,2500.41,2503.46,3091
2026-01-01T09:37:00,2502.11,2505.02,2499.93,2502.04,1522
2026-01-01T09:38:00,2505.76,2507.79,2502.65,2505.89,2667
2026-01-01T09:39:00,2505.22,2507.2,2503.02,2505.28,1803
2026-01-01T09:40:00,2509.26,2511.56,2508.71,2509.93,1473
2026-01-01T09:41:00,2514.11,2515.25,2512.62,2514.3,4955
2026-01-01T09:42:00,2515.94,2518.8,2513.73,2516.34,1586
2026-01-01T09:43:00,2519.44,2522.93,2517.23,2519.9,1145
2026-01-01T09:44:00,2521.73,2523.15,2519.08,2521.97,4867
2026-01-01T09:45:00,2520.02,2521.18,2516.77,2520.49,2336
2026-01-01T09:46:00,2524.85,2527.36,2521.61,2524.54,4991
2026-01-01T09:47:00,2525.3,2528.85,2524.32,2526.62,3106
2026-01-01T09:48:00,2531.79,2534.4,2531.76,2532.59,3316
2026-01-01T09:49:00,2533.51,2536.37,2534.12,2534.24,4152
2026-01-01T09:50:00,2539.9,2541.39,2537.87,2540.2,1031
2026-01-01T09:51:00,2540.08,2543.32,2538.24,2539.62,4695
2026-01-01T09:52:00,2536.2,2538.17,2536.31,2536.66,1014
2026-01-01T09:53:00,2544.85,2545.73,2544.58,2545.33,3943
2026-01-01T09:54:00,2539.37,2539.39,2536.11,2538.94,3395
2026-01-01T09:55:00,2536.63,2537.38,2535.69,2536.0,1717
2026-01-01T09:56:00,2535.08,2538.33,2531.61,2535.57,2997
2026-01-01T09:57:00,2536.78,2540.4,2536.22,2538.38,2267
