timestamp,open,high,low,close,volume
2024-01-01 09:15:00,100,105,95,102,1000
2024-01-01 09:16:00,102,107,101,105,1000
2024-01-01 09:17:00,105,106,104,105,1000
2024-01-01 09:18:00,105,110,105,109,1000
2024-01-01 09:19:00,109,112,108,111,1000
2024-01-01 09:20:00,111,115,110,114,1000
2024-01-01 09:21:00,114,116,113,115,1000
2024-01-01 09:22:00,115,118,114,117,1000
2024-01-01 09:23:00,117,120,116,119,1000
2024-01-01 09:24:00,119,122,118,121,1000
2024-01-01 09:25:00,121,121,121,121,1000
2024-01-01 09:26:00,121,121,121,121,1000
2024-01-01 09:27:00,121,121,121,121,1000
2024-01-01 09:28:00,121,121,121,121,1000
2024-01-01 09:29:00,121,121,121,121,1000
